aspect,true,predicted,count,error_type
Packaging,Positive,Negative,7,Positive -> Negative
Camera,Positive,Negative,6,Positive -> Negative
General,Neutral,Positive,5,Neutral -> Positive
Performance,Negative,Positive,5,Negative -> Positive
General,Positive,Neutral,4,Positive -> Neutral
Display,Negative,Positive,4,Negative -> Positive
Design,Negative,Positive,4,Negative -> Positive
Design,Positive,Negative,4,Positive -> Negative
Shipping,Negative,Positive,4,Negative -> Positive
Battery,Neutral,Negative,3,Neutral -> Negative
Battery,Positive,Neutral,3,Positive -> Neutral
Shipping,Positive,Negative,2,Positive -> Negative
Price,Negative,Positive,2,Negative -> Positive
Shop_Service,Positive,Negative,2,Positive -> Negative
Price,Positive,Negative,2,Positive -> Negative
Shop_Service,Negative,Positive,2,Negative -> Positive
Shop_Service,Negative,Neutral,2,Negative -> Neutral
Performance,Positive,Negative,2,Positive -> Negative
Packaging,Negative,Positive,2,Negative -> Positive
Battery,Positive,Negative,2,Positive -> Negative
General,Negative,Positive,2,Negative -> Positive
Camera,Neutral,Negative,2,Neutral -> Negative
Camera,Negative,Positive,2,Negative -> Positive
Battery,Negative,Positive,2,Negative -> Positive
Packaging,Positive,Neutral,1,Positive -> Neutral
General,Neutral,Negative,1,Neutral -> Negative
General,Negative,Neutral,1,Negative -> Neutral
Performance,Positive,Neutral,1,Positive -> Neutral
Display,Neutral,Negative,1,Neutral -> Negative
Price,Positive,Neutral,1,Positive -> Neutral
Display,Positive,Negative,1,Positive -> Negative
Price,Neutral,Positive,1,Neutral -> Positive
Battery,Neutral,Positive,1,Neutral -> Positive
Battery,Negative,Neutral,1,Negative -> Neutral
Shop_Service,Neutral,Negative,1,Neutral -> Negative
