aspect,confusion_type,error_count
Battery,neutral → negative,3
Battery,positive → neutral,3
Battery,negative → positive,2
Battery,positive → negative,2
Battery,negative → neutral,1
Battery,neutral → positive,1
Camera,positive → negative,6
Camera,negative → positive,2
Camera,neutral → negative,2
Design,negative → positive,4
Design,positive → negative,4
Display,negative → positive,4
Display,neutral → negative,1
Display,positive → negative,1
General,neutral → positive,5
General,positive → neutral,4
General,negative → positive,2
General,negative → neutral,1
General,neutral → negative,1
Packaging,positive → negative,7
Packaging,negative → positive,2
Packaging,positive → neutral,1
Performance,negative → positive,5
Performance,positive → negative,2
Performance,positive → neutral,1
Price,negative → positive,2
Price,positive → negative,2
Price,neutral → positive,1
Price,positive → neutral,1
Shipping,negative → positive,4
Shipping,positive → negative,2
Shop_Service,negative → neutral,2
Shop_Service,negative → positive,2
Shop_Service,positive → negative,2
Shop_Service,neutral → negative,1
